/* DATA DESCRIPTION:
Citation:	Rojo, Maxence; Noer, Gunnar; Claud, Chantal (2019): Polar Low tracks in the Norwegian Sea and the Barents Sea from 1999 until 2019. PANGAEA, https://doi.org/10.1594/PANGAEA.903058, 
	Supplement to: Rojo, Maxence; Claud, Chantal; Noer, Gunnar; Carleton, Andrew M (2019): In Situ Measurements of Surface Winds, Waves, and Sea State in Polar Lows Over the North Atlantic. Journal of Geophysical Research: Atmospheres, 124(2), 700-718, https://doi.org/10.1029/2017JD028079
Abstract:	List of Polar Low (PL) events over the Nordic seas and their associated tracking for the period November 1999 until March 2018 using AVHRR imagery.
Related to:	Rojo, Maxence; Claud, Chantal; Mallet, Paul-Etienne; Noer, Gunnar; Carleton, Andrew M; Vicomte, Marie (2015): Polar low tracks over the Nordic Seas: a 14-winter climatic analysis. Tellus Series A-Dynamic Meteorology and Oceanography, 67(1), 24660, https://doi.org/10.3402/tellusa.v67.24660
Coverage:	MEDIAN LATITUDE: 71.099792 * MEDIAN LONGITUDE: 17.603222 * SOUTH-BOUND LATITUDE: 51.000000 * WEST-BOUND LONGITUDE: -32.000000 * NORTH-BOUND LATITUDE: 81.000000 * EAST-BOUND LONGITUDE: 81.000000
	DATE/TIME START: 1999-12-19T04:16:00 * DATE/TIME END: 2019-05-03T05:46:00
Event(s):	NordicSeas_NAtlantic * LATITUDE: 71.600000 * LONGITUDE: 18.000000 * LOCATION: Nordic Seas * METHOD/DEVICE: Satellite remote sensing (SAT)
Parameter(s):	Identification (ID) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * COMMENT: PolarLowID
	DATE/TIME (Date/Time) * GEOCODE * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	Season (Season) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	Observation (Obs) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	LATITUDE (Latitude) * GEOCODE * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	LONGITUDE (Longitude) * GEOCODE * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	Diameter [km] (Ø) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Approximative diameter of a circle that forms the PL cloud vortex at the time of observation
	Diameter [km] (Ø) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Optional value of approximative diameter of a circle that forms the PL cloud vortex at the time of observation
	Morphology (Morphology) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: of PL at the time of observation, S = Spiraliform, C = Comma shaped, MGR = Merry-go-round, W = Wave system, U = Undefined, T = Transition between different forms, H = Hybrid, - = Systems don't appear completely on imagery
	Stage (Stage) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: of PL development at the time of observation, F = Formation, M = Mature, D = Decay
	Comment (Comment) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Specific mentions about PL
	Comment (Comment) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Added from visual inspection of historical NOAA AVHRR images only, without support of observations or NWP
	Comment (Comment) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Denotes uncertainties in visual inspection, and/or notes of the MET-NO list
	Pressure, atmospheric, minimum [hPa] (PPPP min) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Minimum pressure level recorded during PL lifecycle. Empty cells indicate that MSLP is not available.
	Wind speed, gust [arbitrary units] (ff gust) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Maximum 10 minute 10m wind speed observed (in knots). Empty cells indicate that Max wind speed is omitted; #35 = 35-40
	Wind speed, gust [arbitrary units] (ff gust) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Max 3 sec. gusts during PL lifecycle; #52 = 52(60)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	34555 data points
*/
ID (PolarLowID)	Date/Time	Season	Obs	Latitude	Longitude	Ø [km] (Approximative diameter of a c...)	Ø [km] (Optional value of approximati...)	Morphology (of PL at the time of observat...)	Stage (of PL development at the time...)	Comment (Specific mentions about PL)	Comment (Added from visual inspection ...)	Comment (Denotes uncertainties in visu...)	PPPP min [hPa] (Minimum pressure level record...)	ff gust [arbitrary units] (Maximum 10 minute 10m wind sp...)	ff gust [arbitrary units] (Max 3 sec. gusts during PL li...)
11	2001-03-24T02:11	2000/2001	1	76.0	11.0	220		C	M	Marginal	-	X	1020	40	
11	2001-03-24T03:52	2000/2001	2	75.5	10.0	280		C	M	Marginal	-	X	1020	40	
11	2001-03-24T05:10	2000/2001	3	75.0	10.0	300		C	M	Marginal	-	X	1020	40	
11	2001-03-24T12:06	2000/2001	4	73.5	5.5	220		C - H	M	Marginal	-	X	1020	40	
12	2001-04-09T05:21	2000/2001	1	73.5	-9.0	370		C	M	Baroclinic	-		1000	58	
12	2001-04-09T07:02	2000/2001	2	73.5	-9.0	400		C	M	Baroclinic	-		1000	58	
12	2001-04-09T15:15	2000/2001	3	73.2	-9.0	430		C	M	Baroclinic	-		1000	58	
12	2001-04-09T16:56	2000/2001	4	73.0	-9.0	370		C	M	Baroclinic	-		1000	58	
12	2001-04-10T00:47	2000/2001	5	72.7	-8.0			C	M	Baroclinic	-		1000	58	
12	2001-04-10T05:09	2000/2001	6	71.5	0.0	490		T	M	Baroclinic	-		1000	58	
12	2001-04-10T05:50	2000/2001	7	71.0	1.0	480		T	M	Baroclinic	-		1000	58	
12	2001-04-10T06:50	2000/2001	8	70.5	2.0	430		T	M	Baroclinic	-		1000	58	
12	2001-04-10T09:01	2000/2001	9	70.0	4.5			S	M	Baroclinic	-		1000	58	
12	2001-04-10T10:41	2000/2001	10	69.8	7.5	440		S	M	Baroclinic	-		1000	58	
12	2001-04-10T12:11	2000/2001	11	69.8	10.0	440		S	M	Baroclinic	-		1000	58	
12	2001-04-10T13:50	2000/2001	12	69.8	12.0	410		S	D	Baroclinic	-		1000	58	
13	2001-10-27T11:07	2001/2002	1	75.5	-12.0	470		C	M	-	X				
13	2001-10-27T12:47	2001/2002	2	75.5	-10.5	500		C	M	-	X				
13	2001-10-27T14:29	2001/2002	3	75.0	-10.0	570		C	M	-	X				
13	2001-10-27T16:27	2001/2002	4	75.0	-9.5	580		C	M	-	X				
13	2001-10-28T01:01	2001/2002	5	75.5	-3.0			C	M	-	X				
13	2001-10-28T02:42	2001/2002	6	76.5	-1.0	720		C	M	-	X				
13	2001-10-28T04:23	2001/2002	7	76.0	1.0	700		C	M	-	X				
13	2001-10-28T06:14	2001/2002	8	76.0	2.0	740		C	M	-	X				
13	2001-10-28T09:07	2001/2002	9	76.0	10.0			C	M	-	X				
13	2001-10-28T10:57	2001/2002	10	76.5	13.0	640		C	M	-	X				
13	2001-10-28T12:35	2001/2002	11	76.5	14.0			C	M	-	X				
13	2001-10-28T14:15	2001/2002	12	76.5	19.0			C	M	-	X				
13	2001-10-28T16:03	2001/2002	13	77.5	20.5			C	M	-	X				
13	2001-10-28T23:01	2001/2002	14	78.0	35.0	710		C	M	-	X				
13	2001-10-29T00:42	2001/2002	15	78.0	38.0	710		C	M	-	X				
13	2001-10-29T02:32	2001/2002	16	78.5	40.0			C	M	-	X				
13	2001-10-29T04:03	2001/2002	17	78.5	42.0	900		T	M	-	X				
13	2001-10-29T05:43	2001/2002	18	78.8	42.0			T	M	-	X				
13	2001-10-29T08:56	2001/2002	19	78.8	42.5	840		T	M	-	X				
13	2001-10-29T10:47	2001/2002	20	78.0	43.5			S	M	-	X				
13	2001-10-29T12:12	2001/2002	21	78.5	45.5	890		S	M	-	X				
13	2001-10-29T13:51	2001/2002	22	78.2	48.5			S	M	-	X				
13	2001-10-29T22:51	2001/2002	23	78.0	62.0			S	M	-	X				
13	2001-10-30T00:31	2001/2002	24	78.0	65.5			S	M	-	X				
13	2001-10-30T01:59	2001/2002	25	78.0	69.0			S	D	-	X				
14	2001-11-01T02:00	2001/2002	1	70.3	18.5	450		C	M	Cirrus_outflow_The_Torsvag_case	-		992	50	
14	2001-11-01T03:41	2001/2002	2	70.5	19.5	480		C	M	Cirrus_outflow_The_Torsvag_case	-		992	50	
14	2001-11-01T05:20	2001/2002	3	71.0	20.0	450		U - C	M	Cirrus_outflow_The_Torsvag_case	-		992	50	
14	2001-11-01T06:21	2001/2002	4	71.0	21.5	460		U - C	M	Cirrus_outflow_The_Torsvag_case	-		992	50	
14	2001-11-01T08:25	2001/2002	5	70.5	22.0			U	M	Cirrus_outflow_The_Torsvag_case	-		992	50	
15	2001-11-04T05:10	2001/2002	1	70.8	2.0	300		C	M	-	X				
15	2001-11-04T11:23	2001/2002	2	69.0	1.5	260		C	M	-	X				
15	2001-11-04T13:03	2001/2002	3	68.5	1.5	290		C	M	-	X				
15	2001-11-04T16:35	2001/2002	4	67.5	1.0	350		C	M	-	X				
15	2001-11-05T01:17	2001/2002	5	66.2	2.0	440		C	M	-	X				
15	2001-11-05T02:58	2001/2002	6	65.7	2.0	420		C	M	-	X				
15	2001-11-05T04:38	2001/2002	7	65.2	2.0	430		C	M	-	X				
15	2001-11-05T06:27	2001/2002	8	65.2	2.0	420		C	D	-	X				
16	2001-11-09T12:10	2001/2002	1	73.8	24.0	440		C	M	-	X				
16	2001-11-09T14:35	2001/2002	2	74.0	25.0			C	M	-	X				
16	2001-11-10T02:05	2001/2002	3	76.5	30.0	410		C	M	-	X				
16	2001-11-10T03:46	2001/2002	4	76.5	30.0	430		C	M	-	X				
16	2001-11-10T05:25	2001/2002	5	76.5	29.5			C	M	-	X				
16	2001-11-10T06:10	2001/2002	6	76.5	29.0	430		C	M	-	X				
17	2001-11-12T01:43	2001/2002	1	70.2	4.0	330		C	M	-	-		990	45	
17	2001-11-12T03:24	2001/2002	2	69.0	6.0	390		C	M	-	-		990	45	
17	2001-11-12T05:23	2001/2002	3	68.0	6.0	400		U	M	-	-		990	45	
17	2001-11-12T11:38	2001/2002	4	65.5	6.0	410		U - C	M	-	-		990	45	
17	2001-11-12T13:19	2001/2002	5	64.5	7.0	420		U	M	-	-		990	45	
17	2001-11-12T15:04	2001/2002	6	63.5	7.0	370		U	M	-	-		990	45	
17	2001-11-12T16:52	2001/2002	7	63.0	7.5	370		U	M	-	-		990	45	
18	2001-12-31T01:23	2001/2002	1	73.0	36.0			C	M	Dual	X				
18	2001-12-31T02:40	2001/2002	2	73.0	37.0	120		C	M	Dual	X				
18	2001-12-31T03:04	2001/2002	3	73.0	37.0	140		C	M	Dual	X				
18	2001-12-31T04:44	2001/2002	4	73.3	38.0			C	M	Dual	X				
18	2001-12-31T06:09	2001/2002	5	73.3	39.0	160		W	M	Dual	X				
18	2001-12-31T06:56	2001/2002	6	73.3	39.0	190		W	M	Dual	X				
18	2001-12-31T07:50	2001/2002	7	73.4	39.5	240		W	M	Dual	X				
18	2001-12-31T09:28	2001/2002	8	73.6	40.0	260		W	M	Dual	X				
18	2001-12-31T10:53	2001/2002	9	73.8	41.0	270		W	M	Dual	X				
18	2001-12-31T11:18	2001/2002	10	74.2	41.6	230		W	M	Dual	X				
18	2001-12-31T12:29	2001/2002	11	74.3	42.6	250		W	M	Dual	X				
18	2001-12-31T14:09	2001/2002	12	74.3	43.2	210		W	M	Dual	X				
18	2001-12-31T15:05	2001/2002	13	74.5	43.5	220		W	M	Dual	X				
18	2001-12-31T23:23	2001/2002	14	77.0	48.7	310		W	D	Dual	X				
18.b	2001-12-31T06:09	2001/2002	1	72.0	32.5	210		W	M	Dual	X				
18.b	2001-12-31T06:56	2001/2002	2	72.0	33.0	210		W	M	Dual	X				
18.b	2001-12-31T07:50	2001/2002	3	72.0	33.5	300		W	M	Dual	X				
18.b	2001-12-31T09:28	2001/2002	4	72.0	35.5	300		W	M	Dual	X				
18.b	2001-12-31T10:53	2001/2002	5	72.2	37.0	300		W	M	Dual	X				
18.b	2001-12-31T11:18	2001/2002	6	72.5	37.5	290		W	M	Dual	X				
18.b	2001-12-31T12:29	2001/2002	7	72.5	38.0	320		W	M	Dual	X				
18.b	2001-12-31T14:09	2001/2002	8	72.5	38.5	310		W	M	Dual	X				
18.b	2001-12-31T15:05	2001/2002	9	72.8	38.5	320		W	M	Dual	X				
18.b	2001-12-31T23:23	2001/2002	10	73.5	38.5	270		W	D	Dual	X				
18.b	2002-01-01T01:12	2001/2002	11	73.5	39.0	260		S	D	Dual	X				
19	2002-01-11T16:38	2001/2002	1	74.6	7.4			C	M	-	-		979	35	
19	2002-01-12T00:46	2001/2002	2	73.8	22.4	490		S	M	-	-		979	35	
19	2002-01-12T02:28	2001/2002	3	73.5	26.9	490		S	M	-	-		979	35	
19	2002-01-12T02:57	2001/2002	4	73.4	28.1	560		S	M	-	-		979	35	
19	2002-01-12T04:16	2001/2002	5	73.4	31.4	610		S	M	-	-		979	35	
19	2002-01-12T06:25	2001/2002	6	73.3	36.2	600		H	M	-	-		979	35	
19	2002-01-12T10:51	2001/2002	7	72.5	44.0	570		H	M	-	-		979	35	
20	2002-01-19T01:12	2001/2002	1	71.0	45.8	190		C	M	-	-		989	35	
20	2002-01-19T01:20	2001/2002	2	71.0	45.8	180		C	M	-	-		989	35	
20	2002-01-19T01:51	2001/2002	3	70.8	46.3	180		C	M	-	-		989	35	
20	2002-01-19T03:01	2001/2002	4	70.3	47.3	230		C	M	-	-		989	35	
20	2002-01-19T03:31	2001/2002	5	70.0	47.9	230		C	M	-	-		989	35	
20	2002-01-19T05:20	2001/2002	6	69.7	48.9	270		H	M	-	-		989	35	
20	2002-01-19T09:25	2001/2002	7	68.3	51.3			-	D	-	-		989	35	
21	2002-01-21T22:58	2001/2002	1	74.5	36.5	210		C	M	Dual	-		985	50	
21	2002-01-22T00:47	2001/2002	2	75.5	35.9	220		C	M	Dual	-		985	50	
21	2002-01-22T02:29	2001/2002	3	75.5	34.4	250		C	M	Dual	-		985	50	
21	2002-01-22T04:09	2001/2002	4	75.8	31.4	290		C	M	Dual	-		985	50	
21	2002-01-22T05:49	2001/2002	5	76.2	30.0	280		C	M	Dual	-		985	50	
21	2002-01-22T10:44	2001/2002	6	74.9	27.1	210		C	M	Dual	-		985	50	
21	2002-01-22T12:23	2001/2002	7	75.0	25.0	260		C	M	Dual	-		985	50	
21	2002-01-23T00:36	2001/2002	8	72.9	20.0			-	D	Dual	-		985	50	
21.b	2002-01-21T22:58	2001/2002	1	74.5	22.5			-	M	Dual	-				
21.b	2002-01-22T00:47	2001/2002	2	75.0	20.0	320		S	M	Dual	-				
21.b	2002-01-22T02:29	2001/2002	3	74.7	20.0	340		S	M	Dual	-				
21.b	2002-01-22T04:09	2001/2002	4	74.0	19.0	340		S	M	Dual	-				
21.b	2002-01-22T05:49	2001/2002	5	73.9	18.2	260		S	M	Dual	-				
21.b	2002-01-22T10:44	2001/2002	6	72.6	17.5	250		S	M	Dual	-				
21.b	2002-01-22T12:23	2001/2002	7	72.0	16.0	300		S	M	Dual	-				
21.b	2002-01-23T00:36	2001/2002	8	71.0	16.0	260		S	M	Dual	-				
21.b	2002-01-23T02:18	2001/2002	9	71.0	16.0	260		S	M	Dual	-				
21.b	2002-01-23T03:59	2001/2002	10	70.8	16.5	250		S	M	Dual	-				
21.b	2002-01-23T05:25	2001/2002	11	71.0	16.0	230		S	M	Dual	-				
22	2002-01-23T10:33	2001/2002	1	70.2	16.5	240		MGR	M	Continuation_of_21.b_?_Multiple	-		978	35	
22	2002-01-23T12:13	2001/2002	2	70.2	16.5	230		MGR	M	Continuation_of_21.b_?_Multiple	-		978	35	
22.b	2002-01-23T10:33	2001/2002	1	70.0	9.5	250		MGR	M	Multiple	-				
22.b	2002-01-23T12:13	2001/2002	2	69.6	10.0	250		MGR	M	Multiple	-				
22.b	2002-01-23T16:54	2001/2002	3	68.7	10.0			-	M	Multiple	-				
22.b	2002-01-24T00:24	2001/2002	4	66.8	11.0			MGR	M	Multiple	-				
