Time,Num,Group,Latitude,Longitude,NumPoint,ValidPoint,NoValidPoint,SeqValid,diamApprox,diamOptional,Morph,Stage,Comment_SpecificMentionsAboutPL_,Comment_AddedFromVisualInspection____,Comment_DenotesUncertaintiesInVisu____,MinPressureRecord,Max10min10mWind,Max3sec_gusts,StartCell,EndCell,DateSelect,DateStart,DateEnd
23-Mar-2003 14:44:00,36,NaN,71.8,-3.5,14,3,11,1100000000000,NaN,NaN,C,M,"Comma_in_SW",-,,NaN,45,NaN,351,364,23-Mar-2003 14:44:00,22-Mar-2003 23:37:00,24-Mar-2003 09:41:00
24-Oct-2003 04:46:00,37,NaN,72,19.5,5,1,4,0001,290,NaN,U,M,"Reversed_Shear",-,,990,45,NaN,365,369,24-Oct-2003 04:46:00,24-Oct-2003 01:24:00,24-Oct-2003 10:52:00
05-Dec-2003 11:47:00,38,NaN,72.5,13.5,4,1,3,001,150,NaN,S,M,"Reversed_Shear",-,,990,40,NaN,370,373,05-Dec-2003 11:47:00,05-Dec-2003 10:00:00,05-Dec-2003 19:51:00
08-Dec-2003 12:13:00,39,NaN,71.2,30.2,5,0,5,0000,300,NaN,C,M,"Reversed_Shear_Secondary",-,,985,44,NaN,374,378,08-Dec-2003 12:13:00,08-Dec-2003 08:51:00,08-Dec-2003 18:33:00
17-Dec-2003 12:09:00,40,NaN,72.7,40,4,0,4,000,220,NaN,C,M,"-",-,,988,45,NaN,379,382,17-Dec-2003 12:09:00,17-Dec-2003 10:29:00,17-Dec-2003 18:29:00
27-Dec-2003 10:02:00,41,NaN,73.5,17.5,11,0,11,0000000000,430,NaN,T - S,M,"-",-,,NaN,38,NaN,383,393,27-Dec-2003 10:02:00,26-Dec-2003 20:15:00,27-Dec-2003 21:32:00
29-Dec-2003 12:16:00,42,NaN,68.7,13,11,10,1,1111111110,540,NaN,C,M,"-",X,,NaN,54,NaN,394,404,29-Dec-2003 12:16:00,29-Dec-2003 02:22:00,30-Dec-2003 03:51:00
27-Jan-2004 19:50:00,43,3,71.8,10,21,10,11,00010000000111111111,NaN,NaN,MGR,M,"Multiple_widespread_convective",-,,NaN,NaN,NaN,405,425,27-Jan-2004 19:50:00,27-Jan-2004 09:59:00,29-Jan-2004 03:12:00
30-Jan-2004 13:50:00,44,NaN,68.8,-8,14,14,0,1111111111111,480,240,W,M,"Short_lived_Dual_wave",X,,NaN,NaN,NaN,426,439,30-Jan-2004 13:50:00,29-Jan-2004 22:24:00,30-Jan-2004 20:21:00
06-Feb-2004 11:36:00,45,NaN,71,12,8,2,6,0000011,290,NaN,S,M,"-",X,,NaN,NaN,NaN,440,447,06-Feb-2004 11:36:00,06-Feb-2004 03:22:00,07-Feb-2004 01:29:00
21-Feb-2004 15:34:00,46,NaN,67.5,2.5,8,8,0,1111111,210,NaN,C,M,"Neutral_(No)_shear",-,,990,55,NaN,448,455,21-Feb-2004 15:34:00,21-Feb-2004 10:16:00,22-Feb-2004 03:42:00
01-Mar-2004 15:12:00,47,NaN,69.5,8.5,8,4,4,1111000,420,NaN,W,M,"Dual_Direct_shear_Fast_moving",-,,999,44,NaN,456,463,01-Mar-2004 15:12:00,01-Mar-2004 10:23:00,01-Mar-2004 15:12:00
27-Mar-2004 06:32:00,48,2,66,3.5,20,20,0,1111111111111111111,250,NaN,C,M,"Dual_No_CAO_Uncertainties???",X,X,NaN,NaN,NaN,464,483,27-Mar-2004 06:32:00,27-Mar-2004 04:53:00,27-Mar-2004 16:21:00
15-Nov-2004 22:08:00,49,NaN,66.5,3,10,9,1,111111111,390,NaN,U,M,"Dual_Neutral_Secondary",-,,1002,42,NaN,484,493,15-Nov-2004 22:08:00,15-Nov-2004 12:18:00,16-Nov-2004 11:56:00
16-Nov-2004 01:11:00,50,NaN,69.2,16.5,5,3,2,0111,450,NaN,C,M,"Reversed_shear_Secondary",-,,982,44,72,494,498,16-Nov-2004 01:11:00,15-Nov-2004 15:54:00,16-Nov-2004 05:41:00
16-Nov-2004 13:51:00,51,NaN,70.1,37,5,0,5,0000,280,NaN,C,M,"Reversed_shear",-,,987,40,NaN,499,503,16-Nov-2004 13:51:00,16-Nov-2004 10:15:00,16-Nov-2004 20:06:00
18-Nov-2004 04:52:00,52,2,73.5,45,26,0,26,0000000000000000000000000,320,NaN,W,M,"Multiple",X,,NaN,NaN,NaN,504,529,18-Nov-2004 04:52:00,17-Nov-2004 19:43:00,18-Nov-2004 14:41:00
23-Nov-2004 10:56:00,53,NaN,72,46,7,0,7,000000,270,NaN,C,M,"Small",-,,NaN,NaN,NaN,530,536,23-Nov-2004 10:56:00,23-Nov-2004 04:28:00,23-Nov-2004 19:07:00
10-Dec-2004 20:58:00,54,NaN,64.5,-3,8,8,0,1111111,430,NaN,C,M,"Direct_shear_Secondary",-,,1003,50,NaN,537,544,10-Dec-2004 20:58:00,10-Dec-2004 14:00:00,11-Dec-2004 13:35:00
18-Dec-2004 14:03:00,55,NaN,68.5,8.5,9,7,2,01111111,420,NaN,S - T,M,"Reversed_shear_Secondary_ Radar_soundings",-,,981,52,NaN,545,553,18-Dec-2004 14:03:00,18-Dec-2004 05:53:00,19-Dec-2004 03:47:00
13-Jan-2005 16:41:00,56,NaN,68,6.5,7,7,0,111111,350,NaN,C,M,"Primary_Neutral_Poor_models",-,,1002,55,NaN,554,560,13-Jan-2005 16:41:00,13-Jan-2005 09:53:00,14-Jan-2005 04:43:00
18-Jan-2005 14:38:00,57,NaN,72.5,1,12,2,10,10000000000,400,800,T - S,M,"Large_system",X,,NaN,NaN,NaN,561,572,18-Jan-2005 14:38:00,18-Jan-2005 04:49:00,19-Jan-2005 12:36:00
22-Jan-2005 14:40:00,58,NaN,67.3,-2.5,10,10,0,111111111,390,NaN,S,M,"",-,,NaN,NaN,NaN,573,582,22-Jan-2005 14:40:00,22-Jan-2005 06:31:00,23-Jan-2005 06:06:00
23-Jan-2005 11:05:00,59,NaN,68.1,13,10,10,0,111111111,490,NaN,C,M,"-",-,,1003,43,NaN,583,592,23-Jan-2005 11:05:00,23-Jan-2005 04:26:00,23-Jan-2005 20:54:00
27-Feb-2005 03:26:00,60,NaN,69.5,38,7,0,7,000000,180,NaN,W,M,"Special_case_4_mini_waves",X,,NaN,NaN,NaN,593,599,27-Feb-2005 03:26:00,26-Feb-2005 19:39:00,27-Feb-2005 11:06:00
01-Mar-2005 03:03:00,61,NaN,73,37,8,0,8,0000000,480,NaN,S,M,"-",X,,NaN,NaN,NaN,600,607,01-Mar-2005 03:03:00,28-Feb-2005 20:33:00,01-Mar-2005 20:10:00
07-Mar-2005 05:15:00,62,NaN,73.3,20.5,5,0,5,0000,290,NaN,C,M,"The_Brummer_Case",-,,NaN,35,NaN,608,612,07-Mar-2005 05:15:00,07-Mar-2005 01:53:00,07-Mar-2005 11:24:00
15-Mar-2005 13:20:00,63,NaN,64,6,7,7,0,111111,290,NaN,C,M,"Direct_Primary",-,,999,48,NaN,613,619,15-Mar-2005 13:20:00,15-Mar-2005 05:23:00,16-Mar-2005 01:50:00
17-Mar-2005 09:14:00,64,NaN,72,43,9,0,9,00000000,250,NaN,S,M,"Direct_Neutral",-,,NaN,NaN,NaN,620,628,17-Mar-2005 09:14:00,16-Mar-2005 23:50:00,17-Mar-2005 20:45:00
03-Apr-2005 01:44:00,65,NaN,71.5,34.5,11,0,11,0000000000,380,NaN,C,M,"Secondary_Strong_reversed",-,,994,70,NaN,629,639,03-Apr-2005 01:44:00,02-Apr-2005 09:49:00,03-Apr-2005 05:06:00
27-Apr-2005 10:18:00,66,NaN,72.3,41.5,7,0,7,000000,460,NaN,C,M,"Cirrus_shield",X,,NaN,NaN,NaN,640,646,27-Apr-2005 10:18:00,26-Apr-2005 20:31:00,27-Apr-2005 20:08:00
12-Oct-2005 08:26:00,67,NaN,76.7,1,12,0,12,00000000000,470,NaN,C - H,M,"Along_the_ice_edge",-,,NaN,50,NaN,647,658,12-Oct-2005 08:26:00,11-Oct-2005 19:48:00,12-Oct-2005 19:25:00
24-Nov-2005 05:38:00,68,NaN,73.3,39.5,14,2,12,0000001100000,530,NaN,C,M,"Dual_Comma_in_SW",-,,NaN,44,NaN,659,672,24-Nov-2005 05:38:00,23-Nov-2005 10:12:00,24-Nov-2005 05:38:00
29-Nov-2005 11:15:00,69,NaN,68.5,3,13,13,0,111111111111,380,NaN,C,M,"Sounding_LDWR_Radar",-,,NaN,50,NaN,673,685,29-Nov-2005 11:15:00,28-Nov-2005 19:48:00,30-Nov-2005 04:10:00
19-Dec-2005 04:17:00,70,NaN,71.2,24.5,8,0,8,0000000,240,NaN,C,M,"Small",-,,NaN,36,NaN,686,693,19-Dec-2005 04:17:00,18-Dec-2005 20:29:00,19-Dec-2005 15:11:00
30-Jan-2006 00:29:00,71,NaN,74,27,5,0,5,0000,400,NaN,S,D,"Shear_vorticity_Bear Island_Spitsbergen",-,,NaN,35,NaN,694,698,30-Jan-2006 00:29:00,29-Jan-2006 19:27:00,30-Jan-2006 03:52:00
03-Mar-2006 13:22:00,72,NaN,74,4,12,4,8,00000001111,270,NaN,S,M,"-",-,,NaN,NaN,NaN,699,710,03-Mar-2006 13:22:00,03-Mar-2006 01:46:00,04-Mar-2006 11:31:00
04-Mar-2006 14:19:00,73,NaN,74.5,24,16,0,16,000000000000000,430,NaN,C,M,"-",-,,988,41,NaN,711,726,04-Mar-2006 14:19:00,03-Mar-2006 20:09:00,05-Mar-2006 13:54:00
06-Mar-2006 09:09:00,74,2,70.5,10,20,9,11,1111111100000000000,NaN,NaN,C,M,"Dual_From_a_CB-cluster",-,,NaN,NaN,NaN,727,746,06-Mar-2006 09:09:00,06-Mar-2006 04:37:00,07-Mar-2006 12:07:00
21-Mar-2006 10:06:00,75,3,70.3,2.5,36,16,20,01111111110000000111111000000000100,390,NaN,C - W,M,"Multiple_Widespread_convective_Mixed_with_73.d_at_10:06_1_big_wave_system",-,,NaN,NaN,NaN,747,782,21-Mar-2006 10:06:00,20-Mar-2006 10:29:00,22-Mar-2006 13:29:00
30-Oct-2006 00:50:00,76,NaN,68.9,19,10,1,9,000000001,NaN,NaN,-,M,"Primary_good models_Dual",-,,992,38,54,783,792,30-Oct-2006 00:50:00,29-Oct-2006 04:23:00,30-Oct-2006 00:50:00
08-Nov-2006 14:16:00,77,2,68.5,-4,14,11,3,1111111111000,NaN,NaN,C,F,"Not_dual_on_the_MetNo_list_Uncertainties",-,X,NaN,NaN,NaN,793,806,08-Nov-2006 14:16:00,08-Nov-2006 11:13:00,09-Nov-2006 22:20:00
22-Dec-2006 09:19:00,78,NaN,72.2,12,7,0,7,000000,370,NaN,C,M,"Secondary_Baroclinic_Poor_models",-,,979,48,61,807,813,22-Dec-2006 09:19:00,22-Dec-2006 01:50:00,22-Dec-2006 19:11:00
26-Dec-2006 19:19:00,79,NaN,76,29,14,0,14,0000000000000,470,NaN,C,M,"Secondary_Instant_occlusion_Reversed",-,,977,49,63,814,827,26-Dec-2006 19:19:00,26-Dec-2006 01:08:00,26-Dec-2006 12:44:00
22-Jan-2007 01:32:00,80,NaN,70.3,40,9,0,9,00000000,290,NaN,S,M,"Widespread_convective_Primary_Stockman",-,,993,50,NaN,828,836,22-Jan-2007 01:32:00,21-Jan-2007 03:23:00,22-Jan-2007 18:57:00
22-Jan-2007 22:16:00,81,NaN,74.7,4.5,10,0,10,000000000,450,NaN,C,M,"Primary_Widespread_convective_Direct_shear",-,,NaN,NaN,NaN,837,846,22-Jan-2007 22:16:00,22-Jan-2007 10:46:00,23-Jan-2007 13:42:00
26-Jan-2007 04:12:00,82,NaN,70.3,15,6,3,3,00111,210,NaN,C,M,"Cirrus_shield_Cold_Primary",-,,974,51,NaN,847,852,26-Jan-2007 04:12:00,26-Jan-2007 00:50:00,26-Jan-2007 10:42:00
27-Jan-2007 04:02:00,83,NaN,76.5,40,5,0,5,0000,NaN,NaN,-,M,"Cirrus_shield_Cold_Primary",-,,982,51,NaN,853,857,27-Jan-2007 04:02:00,27-Jan-2007 00:40:00,27-Jan-2007 10:36:00
05-Feb-2007 10:44:00,84,NaN,63.5,11,12,12,0,11111111111,NaN,NaN,-,D,"Two_PLs_Small_Over_the_land",-,,994,41,NaN,858,869,05-Feb-2007 10:44:00,04-Feb-2007 20:36:00,05-Feb-2007 10:44:00
13-Feb-2007 02:46:00,85,NaN,71.3,23,6,0,6,00000,300,NaN,S,M,"Small_PL",-,,1004,40,NaN,870,875,13-Feb-2007 02:46:00,12-Feb-2007 20:52:00,13-Feb-2007 09:23:00
06-Apr-2007 05:34:00,86,NaN,72.6,11,9,1,8,00000001,510,NaN,C - T,M,"Strong_PL_Long_lifetime_Baroclinic",-,,986,53,NaN,876,884,06-Apr-2007 05:34:00,05-Apr-2007 20:53:00,06-Apr-2007 20:30:00
29-Apr-2007 03:18:00,87,NaN,69.8,30.5,3,0,3,00,390,NaN,S,M,"Baroclinic",-,,1001,51,NaN,885,887,29-Apr-2007 03:18:00,29-Apr-2007 01:37:00,29-Apr-2007 04:58:00
03-Sep-2007 01:30:00,88,NaN,66,6.5,6,6,0,11111,410,NaN,C,M,"Season_start!",-,,993,40,NaN,888,893,03-Sep-2007 01:30:00,02-Sep-2007 19:51:00,03-Sep-2007 09:38:00
11-Dec-2007 18:58:00,89,NaN,70.3,31.5,2,0,2,0,270,NaN,C,M,"-",-,,NaN,35,NaN,894,895,11-Dec-2007 18:58:00,11-Dec-2007 18:58:00,11-Dec-2007 19:40:00
25-Jan-2008 19:00:00,90,NaN,67.5,10,6,6,0,11111,300,NaN,C,M,"Comma",-,,NaN,35,NaN,896,901,25-Jan-2008 19:00:00,25-Jan-2008 10:50:00,26-Jan-2008 03:14:00
31-Jan-2008 10:11:00,91,NaN,72.2,11.5,12,0,12,00000000000,380,NaN,S,M,"Primary",-,,NaN,40,NaN,902,913,31-Jan-2008 10:11:00,31-Jan-2008 00:40:00,01-Feb-2008 02:11:00
15-Feb-2008 01:26:00,92,NaN,68.5,37,7,0,7,000000,440,NaN,C,M,"Primary_Reversed?",-,,1012,45,NaN,914,920,15-Feb-2008 01:26:00,14-Feb-2008 11:31:00,15-Feb-2008 06:25:00
29-Feb-2008 18:50:00,93,NaN,74.3,24,15,0,15,00000000000000,200,NaN,C,M,"Dual",-,,NaN,40,NaN,921,935,29-Feb-2008 18:50:00,28-Feb-2008 20:52:00,29-Feb-2008 20:29:00
02-Mar-2008 13:36:00,94,2,70,10,14,8,6,0000011111111,230,NaN,U,M,"Dual_Small",-,,NaN,NaN,NaN,936,949,02-Mar-2008 13:36:00,02-Mar-2008 19:43:00,03-Mar-2008 11:45:00
04-Mar-2008 06:39:00,95,NaN,69,3,9,6,3,00111111,480,NaN,S,M,"The_Thorpex_Low",-,,990,45,NaN,950,958,04-Mar-2008 06:39:00,03-Mar-2008 19:21:00,04-Mar-2008 20:37:00
16-Mar-2008 20:59:00,96,NaN,70,7.5,12,7,5,00001111111,500,NaN,S,M,"Baroclinic",-,,NaN,35,NaN,959,970,16-Mar-2008 20:59:00,16-Mar-2008 04:36:00,17-Mar-2008 12:40:00
19-Mar-2008 06:37:00,97,NaN,72.3,30,18,7,11,00000000001111111,480,NaN,S,M,"Dual_Reversed",-,,NaN,35,NaN,971,988,19-Mar-2008 06:37:00,18-Mar-2008 09:11:00,19-Mar-2008 10:00:00
20-Mar-2008 03:55:00,98,NaN,71.7,41,8,0,8,0000000,430,NaN,S,M,"Continuation of PL 98",-,,NaN,35,NaN,989,996,20-Mar-2008 03:55:00,19-Mar-2008 19:50:00,20-Mar-2008 14:24:00
04-Apr-2008 04:39:00,99,NaN,72.3,1,17,1,16,0000000000000001,500,NaN,S,M,"Primary_Reversed",-,,NaN,45,NaN,997,1013,04-Apr-2008 04:39:00,03-Apr-2008 09:45:00,05-Apr-2008 02:47:00
24-Apr-2008 05:37:00,100,NaN,73,40.2,6,0,6,00000,310,NaN,C,M,"-",-,,NaN,NaN,NaN,1014,1019,24-Apr-2008 05:37:00,24-Apr-2008 01:10:00,24-Apr-2008 12:46:00
27-Oct-2008 13:53:00,101,2,72,3.5,39,31,8,11111111111111000000011111111111111111,500,NaN,C,F,"Multiple_Reversed_NE_of_Scotland",-,,NaN,NaN,NaN,1020,1058,27-Oct-2008 13:53:00,27-Oct-2008 10:33:00,29-Oct-2008 11:48:00
17-Nov-2008 19:17:00,102,NaN,76,31,19,0,19,000000000000000000,420,NaN,C,M,"Reversed_Baroclinic_Convective_low",-,,990,35,NaN,1059,1077,17-Nov-2008 19:17:00,17-Nov-2008 01:59:00,18-Nov-2008 20:33:00
18-Nov-2008 10:04:00,103,NaN,75,0,14,0,14,0000000000000,510,NaN,C,M,"Leelow_SE_of_Svalbard_Baroclinic",-,,980,40,NaN,1078,1091,18-Nov-2008 10:04:00,17-Nov-2008 20:57:00,18-Nov-2008 22:14:00
19-Nov-2008 08:40:00,104,NaN,70,16,15,8,7,00000011111111,580,NaN,S,M,"Dual_Baroclinic_Reversed",-,,971,55,NaN,1092,1106,19-Nov-2008 08:40:00,18-Nov-2008 18:54:00,19-Nov-2008 20:03:00
20-Nov-2008 21:27:00,105,NaN,64.5,13,17,17,0,1111111111111111,NaN,NaN,-,D,"Secondary_Reversed_shear_Baroclinic_Good_models",-,,967,62,74,1107,1123,20-Nov-2008 21:27:00,20-Nov-2008 03:08:00,21-Nov-2008 12:52:00
28-Nov-2008 11:39:00,106,NaN,69.7,-2,10,9,1,111111111,360,NaN,C,M,"Reversed_Widespread_convective",-,,988,40,NaN,1124,1133,28-Nov-2008 11:39:00,28-Nov-2008 03:25:00,29-Nov-2008 03:15:00
29-Nov-2008 21:18:00,107,NaN,73.5,-4,3,0,3,00,300,NaN,C,M,"Convergence_Baroclinic",-,,1004,35,NaN,1134,1136,29-Nov-2008 21:18:00,29-Nov-2008 19:39:00,30-Nov-2008 01:23:00
07-Jan-2009 03:08:00,108,2,72,29,21,0,21,00000000000000000000,370,NaN,C,M,"Multiple",-,,NaN,NaN,NaN,1137,1157,07-Jan-2009 03:08:00,07-Jan-2009 01:26:00,07-Jan-2009 09:43:00
16-Jan-2009 07:10:00,109,NaN,72.8,50,8,0,8,0000000,NaN,NaN,C,M,"Baroclinic_Kara_Sea",-,,990,55,66,1158,1165,16-Jan-2009 07:10:00,16-Jan-2009 01:33:00,16-Jan-2009 17:35:00
05-Feb-2009 12:59:00,110,NaN,68.5,-7,14,10,4,0001111111111,460,NaN,S,M,"Marginal",-,,1008,33,NaN,1166,1179,05-Feb-2009 12:59:00,04-Feb-2009 22:03:00,05-Feb-2009 12:59:00
06-Feb-2009 02:54:00,111,NaN,68.2,42,5,0,5,0000,250,NaN,C,M,"Dual_Small",-,,1010,30,NaN,1180,1184,06-Feb-2009 02:54:00,05-Feb-2009 18:21:00,05-Feb-2009 18:21:00
08-Feb-2009 02:33:00,112,NaN,73.3,44,9,0,9,00000000,490,NaN,W,M,"Dual",-,,1005,35,NaN,1185,1193,08-Feb-2009 02:33:00,07-Feb-2009 09:19:00,08-Feb-2009 04:13:00
27-Feb-2009 09:59:00,113,NaN,67.3,11,16,11,5,000111110111111,310,NaN,H,M,"Dual_Baroclinic_Reversed",-,,985,45,54,1194,1209,27-Feb-2009 09:59:00,26-Feb-2009 12:39:00,27-Feb-2009 05:47:00
